-7.37,-2.35,-7.57,49,89,58,0,Thumbs Up
.30,-2.43,-7.73,49,89,57,0,Thumbs Up
30,-2.47,-7.65,48,90,57,0,Thumbs Up
7.30,-2.51,-7.61,49,90,57,0,Thumbs Up
.34,-2.39,-7.73,49,89,57,0,Thumbs Up
-7.34,-2.43,-7.53,48,89,56,0,Thumbs Up
7.37,-2.31,-7.57,49,89,57,0,Thumbs Up
37,-2.43,-7.57,48,89,57,0,Thumbs Up
-7.37,-2.43,-7.53,49,89,57,0,Thumbs Up
.34,-2.35,-7.53,48,90,56,0,Thumbs Up
37,-2.39,-7.57,49,89,56,0,Thumbs Up
7.34,-2.47,-7.61,50,89,57,0,Thumbs Up
.30,-2.39,-7.69,49,89,57,0,Thumbs Up
-7.34,-2.39,-7.65,49,89,56,0,Thumbs Up
7.41,-2.43,-7.57,49,89,57,0,Thumbs Up
34,-2.31,-7.61,48,89,57,0,Thumbs Up
-7.34,-2.35,-7.65,49,89,57,0,Thumbs Up
.34,-2.43,-7.53,49,89,56,0,Thumbs Up
34,-2.43,-7.53,48,89,56,0,Thumbs Up
7.34,-2.43,-7.61,49,89,57,0,Thumbs Up
.30,-2.47,-7.61,50,89,57,0,Thumbs Up
-7.34,-2.43,-7.61,48,89,57,0,Thumbs Up
7.34,-2.35,-7.65,48,90,56,0,Thumbs Up
34,-2.35,-7.57,48,89,56,0,Thumbs Up
-7.45,-2.31,-7.57,49,90,56,0,Thumbs Up
.41,-2.43,-7.61,49,89,56,0,Thumbs Up
37,-2.47,-7.53,49,89,57,0,Thumbs Up
7.37,-2.47,-7.61,49,89,56,0,Thumbs Up
.37,-2.43,-7.57,49,88,57,0,Thumbs Up
-7.34,-2.35,-7.57,50,89,56,0,Thumbs Up
7.30,-2.43,-7.61,49,89,57,0,Thumbs Up
30,-2.43,-7.57,49,89,56,0,Thumbs Up
-7.34,-2.39,-7.61,48,89,56,0,Thumbs Up
.34,-2.35,-7.61,48,89,56,0,Thumbs Up
34,-2.35,-7.61,49,89,56,0,Thumbs Up
7.34,-2.39,-7.53,49,90,56,0,Thumbs Up
